"age","sex"
1.5,"male"
1.83,"male"
2,"male"
2,"male"
3,"male"
3,"male"
3,"male"
4,"male"
4,"male"
4,"male"
4,"male"
5,"male"
5,"male"
5,"male"
6,"male"
10,"male"
11,"male"
14,"male"
14,"male"
16,"male"
17,"male"
17,"male"
19,"male"
20,"male"
20,"male"
21,"male"
22,"male"
22,"male"
23,"male"
24,"male"
24,"male"
25,"male"
25,"male"
25,"male"
25,"male"
25,"male"
26,"male"
26,"male"
26,"male"
26,"male"
27,"male"
29,"male"
30,"male"
32,"male"
33,"male"
33,"male"
36,"male"
36,"male"
37,"male"
40,"male"
40,"male"
40,"male"
46,"male"
48,"male"
48,"male"
50,"male"
50,"male"
50,"male"
50,"male"
50,"male"
52,"male"
52,"male"
52,"male"
55,"male"
55,"male"
59,"male"
60,"male"
60,"male"
60,"male"
60,"male"
62,"male"
63,"male"
65,"male"
65,"male"
68,"male"
68,"male"
70.5,"male"
72,"male"
72,"male"
72,"male"
84,"male"
90,"male"
1.5,"female"
3,"female"
3,"female"
4,"female"
4,"female"
4,"female"
6,"female"
6,"female"
9,"female"
10,"female"
11,"female"
14,"female"
16,"female"
17,"female"
17,"female"
17,"female"
18,"female"
18,"female"
19,"female"
19,"female"
20,"female"
20,"female"
20,"female"
21,"female"
21,"female"
21,"female"
21,"female"
21,"female"
21,"female"
22,"female"
22,"female"
23,"female"
23,"female"
25,"female"
25,"female"
25,"female"
25,"female"
26,"female"
27,"female"
28,"female"
29,"female"
30,"female"
30,"female"
33,"female"
35,"female"
35,"female"
35,"female"
36,"female"
36,"female"
40,"female"
40,"female"
40,"female"
50,"female"
52,"female"
54,"female"
55,"female"
60,"female"
70,"female"
96,"female"
